iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
1   1503.1943887499788    468.0575760696151   43.569355177620444    1.0 
2   1271.31136045586    87.37898632125398   18.546960992186136    1.0 
3   1239.076858659457    46.93281532044595   20.095465805092505    1.0 
4   1213.9443516973467    2.5510737349850117   4.571048650442153    1.0 
5   1212.4873613466725    0.419295004628078   2.854662834846698    1.0 
6   1212.1388511919517    0.28718298373846546   1.7542311337510816    1.0 
7   1211.8588984850737    0.30656061422939973   1.664012936691548    1.0 
8   1211.5489505528608    0.3179317035708875   1.6488447135173976    1.0 
9   1211.2210762254058    0.3958524983329345   1.9564177627014934    1.0 
10   1210.8046309473887    0.47766915085556794   2.2114424242122803    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
11   1210.2948473477422    0.5507781053762548   2.4047955049045275    1.0 
12   1209.7063906214462    0.634806201109442   2.553077568677137    1.0 
13   1209.038249747196    0.9950513652649595   3.009907405437208    1.0 
14   1208.147370352675    0.8198490184538969   2.785786074337197    1.0 
15   1207.2923821357558    0.8959666710501452   2.963116621817154    1.0 
16   1206.339043569534    0.9568076424473131   3.1247855825201074    1.0 
17   1205.3329049619458    1.1463893528077316   3.3703124605751107    1.0 
18   1204.2145182260913    1.0045520979580045   3.3404414647133334    1.0 
19   1203.2399157345164    0.9406516199977636   3.146628496227626    1.0 
20   1202.3578063593857    0.7920099891633073   2.5980935094258166    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
21   1201.621946341109    0.7026262879955805   2.369208600248954    1.0 
22   1200.9770320161858    1.0226740467501487   4.812081984988453    1.0 
23   1200.159769019842    0.7056853317344541   1.957478153542706    1.0 
24   1199.48915323182    0.6910894863577474   1.7652096088869957    1.0 
25   1198.8258988359448    0.6980095226438122   1.5952436550703077    1.0 
26   1198.1513516425232    0.6697711383698262   1.4504958904032343    1.0 
27   1197.4989206577793    0.6700405132328956   1.3995847606761325    1.0 
28   1196.8428679639928    0.7460447593237686   1.4481547031375377    1.0 
29   1196.1118880211914    0.7743483641206038   1.320012963274614    1.0 
30   1195.3472958981274    1.1359652329937355   5.557489426316722    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
31   1194.4286380545286    1.4923060773411896   3.6400150930616575    1.0 
32   1193.1276653255165    0.9144933877388657   1.7099115684307238    1.0 
33   1192.2316338072108    0.9031594580627798   1.5511363531339846    1.0 
